[WARNING] [2025-04-22 09:35:09,056] Error loading C:\Users\raman\OneDrive\Documents\GitHub\color_picker_model\shapes_jsons\neural_network_visualization.json: Expecting value: line 1 column 1 (char 0)
[INFO] [2025-04-22 09:35:33,332] Dataset size: 322
[INFO] [2025-04-22 09:35:33,521] Epoch 1/200 - Loss: 0.1291
[INFO] [2025-04-22 09:35:33,562] Epoch 2/200 - Loss: 0.1183
[INFO] [2025-04-22 09:35:33,608] Epoch 3/200 - Loss: 0.1062
[INFO] [2025-04-22 09:35:33,655] Epoch 4/200 - Loss: 0.0969
[INFO] [2025-04-22 09:35:33,699] Epoch 5/200 - Loss: 0.0924
[INFO] [2025-04-22 09:35:33,738] Epoch 6/200 - Loss: 0.0851
[INFO] [2025-04-22 09:35:33,787] Epoch 7/200 - Loss: 0.0700
[INFO] [2025-04-22 09:35:33,824] Epoch 8/200 - Loss: 0.0595
[INFO] [2025-04-22 09:35:33,875] Epoch 9/200 - Loss: 0.0512
[INFO] [2025-04-22 09:35:33,919] Epoch 10/200 - Loss: 0.0459
[INFO] [2025-04-22 09:35:33,968] Epoch 11/200 - Loss: 0.0432
[INFO] [2025-04-22 09:35:34,020] Epoch 12/200 - Loss: 0.0409
[INFO] [2025-04-22 09:35:34,057] Epoch 13/200 - Loss: 0.0394
[INFO] [2025-04-22 09:35:34,097] Epoch 14/200 - Loss: 0.0386
[INFO] [2025-04-22 09:35:34,140] Epoch 15/200 - Loss: 0.0382
[INFO] [2025-04-22 09:35:34,182] Epoch 16/200 - Loss: 0.0383
[INFO] [2025-04-22 09:35:34,223] Epoch 17/200 - Loss: 0.0347
[INFO] [2025-04-22 09:35:34,270] Epoch 18/200 - Loss: 0.0325
[INFO] [2025-04-22 09:35:34,310] Epoch 19/200 - Loss: 0.0305
[INFO] [2025-04-22 09:35:34,361] Epoch 20/200 - Loss: 0.0287
[INFO] [2025-04-22 09:35:34,403] Epoch 21/200 - Loss: 0.0271
[INFO] [2025-04-22 09:35:34,448] Epoch 22/200 - Loss: 0.0259
[INFO] [2025-04-22 09:35:34,496] Epoch 23/200 - Loss: 0.0247
[INFO] [2025-04-22 09:35:34,535] Epoch 24/200 - Loss: 0.0238
[INFO] [2025-04-22 09:35:34,585] Epoch 25/200 - Loss: 0.0229
[INFO] [2025-04-22 09:35:34,620] Epoch 26/200 - Loss: 0.0220
[INFO] [2025-04-22 09:35:34,657] Epoch 27/200 - Loss: 0.0216
[INFO] [2025-04-22 09:35:34,719] Epoch 28/200 - Loss: 0.0210
[INFO] [2025-04-22 09:35:34,761] Epoch 29/200 - Loss: 0.0206
[INFO] [2025-04-22 09:35:34,790] Epoch 30/200 - Loss: 0.0203
[INFO] [2025-04-22 09:35:34,839] Epoch 31/200 - Loss: 0.0200
[INFO] [2025-04-22 09:35:34,870] Epoch 32/200 - Loss: 0.0199
[INFO] [2025-04-22 09:35:34,916] Epoch 33/200 - Loss: 0.0198
[INFO] [2025-04-22 09:35:34,958] Epoch 34/200 - Loss: 0.0197
[INFO] [2025-04-22 09:35:35,002] Epoch 35/200 - Loss: 0.0197
[INFO] [2025-04-22 09:35:35,047] Epoch 36/200 - Loss: 0.0199
[INFO] [2025-04-22 09:35:35,096] Epoch 37/200 - Loss: 0.0191
[INFO] [2025-04-22 09:35:35,139] Epoch 38/200 - Loss: 0.0183
[INFO] [2025-04-22 09:35:35,180] Epoch 39/200 - Loss: 0.0179
[INFO] [2025-04-22 09:35:35,226] Epoch 40/200 - Loss: 0.0167
[INFO] [2025-04-22 09:35:35,268] Epoch 41/200 - Loss: 0.0164
[INFO] [2025-04-22 09:35:35,309] Epoch 42/200 - Loss: 0.0158
[INFO] [2025-04-22 09:35:35,342] Epoch 43/200 - Loss: 0.0152
[INFO] [2025-04-22 09:35:35,390] Epoch 44/200 - Loss: 0.0145
[INFO] [2025-04-22 09:35:35,419] Epoch 45/200 - Loss: 0.0145
[INFO] [2025-04-22 09:35:35,470] Epoch 46/200 - Loss: 0.0137
[INFO] [2025-04-22 09:35:35,505] Epoch 47/200 - Loss: 0.0131
[INFO] [2025-04-22 09:35:35,535] Epoch 48/200 - Loss: 0.0126
[INFO] [2025-04-22 09:35:35,572] Epoch 49/200 - Loss: 0.0121
[INFO] [2025-04-22 09:35:35,620] Epoch 50/200 - Loss: 0.0118
[INFO] [2025-04-22 09:35:35,657] Epoch 51/200 - Loss: 0.0115
[INFO] [2025-04-22 09:35:35,695] Epoch 52/200 - Loss: 0.0113
[INFO] [2025-04-22 09:35:35,735] Epoch 53/200 - Loss: 0.0108
[INFO] [2025-04-22 09:35:35,786] Epoch 54/200 - Loss: 0.0106
[INFO] [2025-04-22 09:35:35,825] Epoch 55/200 - Loss: 0.0104
[INFO] [2025-04-22 09:35:35,866] Epoch 56/200 - Loss: 0.0102
[INFO] [2025-04-22 09:35:35,907] Epoch 57/200 - Loss: 0.0101
[INFO] [2025-04-22 09:35:35,934] Epoch 58/200 - Loss: 0.0098
[INFO] [2025-04-22 09:35:35,976] Epoch 59/200 - Loss: 0.0097
[INFO] [2025-04-22 09:35:36,015] Epoch 60/200 - Loss: 0.0096
[INFO] [2025-04-22 09:35:36,057] Epoch 61/200 - Loss: 0.0094
[INFO] [2025-04-22 09:35:36,100] Epoch 62/200 - Loss: 0.0093
[INFO] [2025-04-22 09:35:36,140] Epoch 63/200 - Loss: 0.0092
[INFO] [2025-04-22 09:35:36,173] Epoch 64/200 - Loss: 0.0091
[INFO] [2025-04-22 09:35:36,220] Epoch 65/200 - Loss: 0.0091
[INFO] [2025-04-22 09:35:36,261] Epoch 66/200 - Loss: 0.0090
[INFO] [2025-04-22 09:35:36,291] Epoch 67/200 - Loss: 0.0089
[INFO] [2025-04-22 09:35:36,338] Epoch 68/200 - Loss: 0.0089
[INFO] [2025-04-22 09:35:36,377] Epoch 69/200 - Loss: 0.0089
[INFO] [2025-04-22 09:35:36,423] Epoch 70/200 - Loss: 0.0088
[INFO] [2025-04-22 09:35:36,467] Epoch 71/200 - Loss: 0.0088
[INFO] [2025-04-22 09:35:36,514] Epoch 72/200 - Loss: 0.0088
[INFO] [2025-04-22 09:35:36,548] Epoch 73/200 - Loss: 0.0088
[INFO] [2025-04-22 09:35:36,588] Epoch 74/200 - Loss: 0.0088
[INFO] [2025-04-22 09:35:36,634] Epoch 75/200 - Loss: 0.0088
[INFO] [2025-04-22 09:35:36,669] Epoch 76/200 - Loss: 0.0091
[INFO] [2025-04-22 09:35:36,701] Epoch 77/200 - Loss: 0.0089
[INFO] [2025-04-22 09:35:36,750] Epoch 78/200 - Loss: 0.0086
[INFO] [2025-04-22 09:35:36,790] Epoch 79/200 - Loss: 0.0083
[INFO] [2025-04-22 09:35:36,847] Epoch 80/200 - Loss: 0.0081
[INFO] [2025-04-22 09:35:36,883] Epoch 81/200 - Loss: 0.0079
[INFO] [2025-04-22 09:35:36,928] Epoch 82/200 - Loss: 0.0076
[INFO] [2025-04-22 09:35:36,965] Epoch 83/200 - Loss: 0.0074
[INFO] [2025-04-22 09:35:37,013] Epoch 84/200 - Loss: 0.0071
[INFO] [2025-04-22 09:35:37,057] Epoch 85/200 - Loss: 0.0069
[INFO] [2025-04-22 09:35:37,104] Epoch 86/200 - Loss: 0.0067
[INFO] [2025-04-22 09:35:37,145] Epoch 87/200 - Loss: 0.0066
[INFO] [2025-04-22 09:35:37,182] Epoch 88/200 - Loss: 0.0065
[INFO] [2025-04-22 09:35:37,229] Epoch 89/200 - Loss: 0.0064
[INFO] [2025-04-22 09:35:37,271] Epoch 90/200 - Loss: 0.0062
[INFO] [2025-04-22 09:35:37,310] Epoch 91/200 - Loss: 0.0060
[INFO] [2025-04-22 09:35:37,361] Epoch 92/200 - Loss: 0.0059
[INFO] [2025-04-22 09:35:37,418] Epoch 93/200 - Loss: 0.0057
[INFO] [2025-04-22 09:35:37,471] Epoch 94/200 - Loss: 0.0056
[INFO] [2025-04-22 09:35:37,516] Epoch 95/200 - Loss: 0.0054
[INFO] [2025-04-22 09:35:37,563] Epoch 96/200 - Loss: 0.0053
[INFO] [2025-04-22 09:35:37,620] Epoch 97/200 - Loss: 0.0052
[INFO] [2025-04-22 09:35:37,670] Epoch 98/200 - Loss: 0.0052
[INFO] [2025-04-22 09:35:37,721] Epoch 99/200 - Loss: 0.0051
[INFO] [2025-04-22 09:35:37,758] Epoch 100/200 - Loss: 0.0049
[INFO] [2025-04-22 09:35:37,799] Epoch 101/200 - Loss: 0.0047
[INFO] [2025-04-22 09:35:37,861] Epoch 102/200 - Loss: 0.0046
[INFO] [2025-04-22 09:35:37,910] Epoch 103/200 - Loss: 0.0045
[INFO] [2025-04-22 09:35:37,960] Epoch 104/200 - Loss: 0.0045
[INFO] [2025-04-22 09:35:38,066] Epoch 105/200 - Loss: 0.0042
[INFO] [2025-04-22 09:35:38,109] Epoch 106/200 - Loss: 0.0042
[INFO] [2025-04-22 09:35:38,161] Epoch 107/200 - Loss: 0.0039
[INFO] [2025-04-22 09:35:38,210] Epoch 108/200 - Loss: 0.0037
[INFO] [2025-04-22 09:35:38,263] Epoch 109/200 - Loss: 0.0036
[INFO] [2025-04-22 09:35:38,311] Epoch 110/200 - Loss: 0.0034
